COLMAR,70000,,X,,,X,
COLMAR,68040,,X,,,X,
INGERSHEIM,68040,,X,,,X,
MULHOUSE,68100,,X,X,X,X,X
ILLZACH,68110,,X,X,X,X,X
MODENHEIM,68110,,X,X,X,X,X
GUEWENHEIM,68116,,,,X,,
HIRTZBACH,68118,,,X,,,X
PFASTATT,68120,,X,X,X,X,X
RICHWILLER,68120,,X,X,X,X,X
URBES,68121,,,X,,,X
LOGELBACH,68124,,X,,,X,
HOUSSEN,68125,,X,,,X,
BENNWIHR GARE,68126,,X,,,X,
BILZHEIM,68127,,X,,,X,
NIEDERENTZEN,68127,,X,,,X,
NIEDERHERGHEIM,68127,,X,,,X,
OBERENTZEN,68127,,X,,,X,
OBERHERGHEIM,68127,,X,,,X,
STE CROIX EN PLAINE,68127,,X,,,X,
ROSENAU,68128,,X,,X,,X
ST LOUIS,68128,,X,,X,,X
VILLAGE NEUF,68128,,X,,X,,X
ALTKIRCH,68130,,,X,,,X
ASPACH,68130,,,,X,,
BERENTZWILLER,68130,,X,,X,,X
CARSPACH,68130,,,X,,,X
EMLINGEN,68130,,,X,,,X
FRANKEN,68130,,X,,X,,X
HAUSGAUEN,68130,,,X,,,X
HEIWILLER,68130,,,,X,,
HUNDSBACH,68130,,X,,X,,X
JETTINGEN,68130,,X,,X,,X
OBERMORSCHWILLER,68130,,X,,X,,X
SCHWOBEN,68130,,,X,,,X
TAGSDORF,68130,,,X,,,X
WAHLBACH,68130,,,X,,,X
WALHEIM,68130,,,X,,,X
WITTERSDORF,68130,,,X,,,X
ZAESSINGUE,68130,,X,,X,,X
ESCHBACH AU VAL,68140,,X,,,X,
GRIESBACH AU VAL,68140,,X,,,X,
GUNSBACH,68140,,X,,,X,
HOHROD,68140,,X,,,X,
LUTTENBACH,68140,,X,,,X,
MUNSTER,68140,,X,,,X,
SOULTZEREN,68140,,X,,,X,
STOSSWIHR,68140,,X,,,X,
AUBURE,68150,,X,,,X,
HUNAWIHR,68150,,X,,,X,
OSTHEIM,68150,,X,,,X,
RIBEAUVILLE,68150,,X,,,X,
STE CROIX AUX MINES,68160,,X,,,X,
STE MARIE AUX MINES,68160,,X,,,X,
ECHERY,68160,,X,,,X,
RIXHEIM,68170,,X,X,X,X,X
HORBOURG WIHR,68180,,X,,,X,
WIHR EN PLAINE,68180,,X,,,X,
ENSISHEIM,68190,,X,,,X,
RAEDERSHEIM,68190,,X,,,X,
UNGERSHEIM,68190,,X,,,X,
BOURTZWILLER,68200,,X,X,X,X,X
MULHOUSE,68200,,X,X,X,X,X
DORNACH,68200,,X,X,X,X,X
ALTENACH,68210,,,X,X,,X
AMMERZWILLER,68210,,,,X,,
BALLERSDORF,68210,,,X,,,X
BALSCHWILLER,68210,,,,X,,
BELLEMAGNY,68210,,,,X,,
BERNWILLER,68210,,,,X,,
BRECHAUMONT,68210,,,,X,,
BUETHWILLER,68210,,,,X,,
CHAVANNES SUR L ETANG,68210,,,,X,,
DANNEMARIE,68210,,,X,,,X
ELBACH,68210,,,,X,,
ETEIMBES,68210,,,,X,,
FALKWILLER,68210,,,,X,,
FULLEREN,68210,,,X,,,X
GILDWILLER,68210,,,,,,
GOMMERSDORF,68210,,,,X,,
GUEVENATTEN,68210,,,,X,,
HAGENBACH,68210,,,,X,,
HECKEN,68210,,,,X,,
VALDIEU LUTRAN,68210,,,X,,,X
MAGNY,68210,,,X,,,X
MANSPACH,68210,,,X,,,X
MERTZEN,68210,,,X,,,X
MONTREUX JEUNE,68210,,,X,,,X
MONTREUX VIEUX,68210,,,X,,,X
RETZWILLER,68210,,,X,,,X
ROMAGNY,68210,,,,X,,
ST COSME,68210,,,,X,,
ST ULRICH,68210,,,X,,,X
TRAUBACH LE BAS,68210,,,,X,,
TRAUBACH LE HAUT,68210,,,,X,,
UEBERKUMEN,68210,,,X,,,X
VALDIEU,68210,,,X,,,X
WOLFERSDORF,68210,,,,X,,
ATTENSCHWILLER,68220,,X,,X,,X
BUSCHWILLER,68220,,X,,X,,X
FOLGENSBOURG,68220,,X,,X,,X
HAGENTHAL LE BAS,68220,,X,,X,,X
HAGENTHAL LE HAUT,68220,,X,,X,,X
HEGENHEIM,68220,,X,,X,,X
HESINGUE,68220,,X,,X,,X
KNOERINGUE,68220,,X,,X,,X
LEYMEN,68220,,X,,X,,X
LIEBENSWILLER,68220,,X,,X,,X
MICHELBACH LE HAUT,68220,,X,,X,,X
NEUWILLER,68220,,X,,X,,X
RANSPACH LE HAUT,68220,,X,,X,,X
WENTZWILLER,68220,,X,,X,,X
KATZENTHAL,68230,,X,,,X,
NIEDERMORSCHWIHR,68230,,X,,,X,
SOULTZBACH LES BAINS,68230,,X,,,X,
TURCKHEIM,68230,,X,,,X,
WALBACH,68230,,X,,,X,
WASSERBOURG,68230,,X,,,X,
WIHR AU VAL,68230,,X,,,X,
ZIMMERBACH,68230,,X,,,X,
FRELAND,68240,,X,,,X,
KAYSERSBERG,68240,,X,,,X,
KIENTZHEIM,68240,,X,,,X,
SIGOLSHEIM,68240,,X,,,X,
GUNDOLSHEIM,68250,,X,,,X,
MUNWILLER,68250,,X,,,X,
PFAFFENHEIM,68250,,X,,,X,
