1,3,32,Avezou-Chastaing,10 rue du Cassé,31240,SAINT JEAN,05.81.52.40.00,05.81.52.40.01,contact@avezou-chastaing.fr,43003683000031,FR26430036830,43.651109,1.520421,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
2,1,65,Auto expertises du Bearn,allée Moulin ZAC du Pesque,64140,LONS,05.59.72.03.60,05.59.72.03.69,aeb@aeb64.fr,39211493000028,FR00392114930,43.315739,-0.41105100000004313,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
3,2,11,Aude Auto Expertise,665 Avenue Paul Henri Mouton La Ferraudière 3 - BP 1039,11860,CARCASSONNE CEDEX 09,04.68.11.62.16,04.68.11.62.10,contact@expert-auto-aude.fr,32721500000024,FR65327215000,43.212161,2.353663,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
4,3,83,Avezou-Chastaing,250 avenue d'Allemagne,82000,MONTAUBAN,05 81 52 40 00,05 81 52 40 01,contact@avezou-chastaing.fr,44850293000028,FR74448502930, 43.9907693,1.3290197000000035,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
5,4,32,Bessonne Tello,10 rue du Cassé,31240,SAINT JEAN,05.61.61.62.00,05.61.26.20.90,contact@cabinet-bessonne.fr,34504703900036,FR03345047039,43.651109,1.520421,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
6,4,32,Bessonne Tello,1 rue garonne,31800,VALENTINE,05.61.61.62.00,05.62.00.95.05,contact@cabinettello.com,41365986300018,FR13413659863,43.0957679,0.7019927000000052,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
7,6,17,Charente Maritime Expertises ,2 rue de l'Abbé Grégoire,17011,LA ROCHELLE,05.46.42.24.34,05.46.42.78.28,contact@cmexpertises.fr,31955964700064,FR17319559647,46.154991, -1.118458,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
8,7,48,Deslandres,12 cours Victor Hugo,47000,AGEN,05.53.47.35.78,05.53.68.25.63,cabinet.deslandres@wanadoo.fr,32749096700020,FR71327490967,44.2013123,0.6195305999999619,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
9,8,41,Expert Land,28 Bd St Vincent de Paul - BP84,40993,SAINT PAUL LES DAX ,05.58.91.62.89,05.58.91.33.74,contact@expertland.fr,50167542500018,FR89501675425,43.724934,-1.0514090000000351,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
10,9,33,Cabinet Gersois d’expertises,1 rue marguerite Duras CS 70010   ,32001,AUCH CEDEX ,05.62.05.79.24,05.62.05.67.23,accueil@cabinet-gersois.com,39103439400026,FR35391034394,43.662550,0.620481,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
11,10,9,Lammoglia & Ruquet,9 avenue de Fémouras-ZI de PIC,9100,PAMIERS,05.61.60.91.60,05.61.60.91.68,contact@lammogliaetruquet.com,48154970700018,FR03481549707,43.114753,1.6079529999999522,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
12,11,15,Matias,ZAC Baradel 2 rue Carnot,15000,AURILLAC,04.71.63.68.15,04.71.64.58.27,laurent.matias@wanadoo.fr,38258525500021,FR76382585255,44.90117290000001,2.434720500000026 ,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
14,12,25,Milhac Expertise 24,14 rue GUYNEMER BP 60113,24004,PERIGUEUX,05.53.45.44.30,05.53.09.79.51,milhac.expertises@free.fr,47762657600011,,45.184029,0.721114899999975,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
15,13,11,Narbonne Expertise,98 rue Antoine Becquerel ZI La coupe CS 50523,11785,NARBONNE CEDEX,04.68.32.17.39,04.68.32.24.52,narbonne.expert@orange.fr,33518396800031,FR58335183968,43.1530044,2.9740975,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
16,14,67,Perpignan Expertise,1 rue François Servent,66100,PERPIGNAN,04.68.50.88.89,04.68.50.46.06 ,expertise@perpignanexpertise.fr,33445704100039,FR31334457041,42.6851207,2.8987019999999575,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
17,15,32,Cabinet Rivière,19 chemin de Nicol,31200,TOULOUSE,05.61.48.77.77,05.61.26.18.19,contact@riviere-expertise.fr,39198034900016,FR68391980349,43.631788,1.4714265000000069,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
18,16,47,Ruquet & Associés,523 av Maryse Bastiè,46000,CAHORS,05.65.35.41.39,05.65.22.30.84,contact@ruquetetassocies.fr,44202072300023,FR13442020723,44.4585859,1.4248258999999734,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
19,3,19,Avezou-Chastaing,13 rue Gasperi,19100,BRIVE LA GAILLARDE,05.81.52.40.00,05.81.52.40.01,contact@avezou-chastaing.fr,52011774800019,FR04520117748,45.1655209,1.524524499999984,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
20,17,82,Tarn Expertise Auto,ZAC Albipôle - BP50059 Rue Jean Thomas ,81027,ALBI CEDEX 9,05.63.46.20.44,05.63.46.21.07,contact@tarnexpertiseauto.fr,51054627800035,FR19510546278,43.9166111,2.0883011999999326,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
21,17,82,Tarn Expertise Auto,42 avenue de Lautrec ,81100,CASTRES,05.63.59.96.59,05.63.59.68.36,contact@tarnexpertiseauto.fr,51054627800035,FR19510546278,43.61146189999999,2.235637900000029,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
22,18,34,Arcachonnaise Expertise,19 chemin Caillivole,33260,LA TESTE DE BUCH,05.56.101.101,05.56.101.100,eae.paolin@herm-ex.fr,39255654400048,FR16392556544,44.5628136,-1.1929113999999572,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
23,19,34,Atlantic Expertise,31 avenue Gustave Eiffel - CS 70016,33615,PESSAC CEDEX,05.56.101.101,05.56.101.100,atlanexp@herm-ex.fr,41386537900023,FR29413865379,44.778271,-0.6561166,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
24,20,34,Espace Auto Expertises,31 avenue Gustave Eiffel - CS 70016,33615,PESSAC CEDEX,05.56.101.101,05.56.101.100,eae.mourlanne@herm-ex.fr,42897008100033,FR03428970081,44.778272,-0.6561167,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
25,21,34,Centre Bordelais d'Expertises,31 avenue Gustave Eiffel - CS 70016,33615,PESSAC CEDEX,05.56.101.101,05.56.101.100,cbe@herm-ex.fr,34432291200033,FR34344322912,44.778273,-0.6561168,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
26,22,34,Ribeiro-Belutaud,31 avenue Gustave Eiffel - CS 70016,33615,PESSAC CEDEX,05.56.101.101,05.56.101.100,pole-expertises33@herm-ex.fr,50966940400022,FR37509669404,44.778274,-0.6561169,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
27,12,25,Milhac Expertise 24,1 Rue Bertrand Duguesclin ,24100,BERGERAC,05.53.22.25.00,05.53.22.25.05,milhac.bergerac@free.fr,,,44.853806,0.4833919999999807,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
